Source,Target,Weight
周芷若,纪晓芙,1916
周芷若,谢逊,25293
周芷若,金花婆婆,12799
周芷若,韦一笑,5909
周芷若,宋青书,17560
周芷若,何太冲,2314
周芷若,小昭,6986
周芷若,赵敏,52297
周芷若,鹿杖客,10924
胡青牛,张三丰,3886
胡青牛,张无忌,47512
胡青牛,周芷若,1127
胡青牛,张翠山,542
胡青牛,俞岱岩,267
胡青牛,宋远桥,123
胡青牛,殷梨亭,660
胡青牛,纪晓芙,14303
胡青牛,谢逊,1144
胡青牛,殷素素,188
胡青牛,金花婆婆,6516
胡青牛,何太冲,1629
胡青牛,韦一笑,244
胡青牛,宋青书,155
胡青牛,小昭,455
胡青牛,赵敏,974
金花婆婆,胡青牛,6516
金花婆婆,张无忌,61240
金花婆婆,张三丰,932
金花婆婆,谢逊,28001
金花婆婆,纪晓芙,5341
金花婆婆,殷梨亭,927
金花婆婆,张翠山,313
金花婆婆,周芷若,12799
金花婆婆,何太冲,714
金花婆婆,宋青书,464
金花婆婆,韦一笑,1090
金花婆婆,小昭,13098
金花婆婆,赵敏,28098
金花婆婆,鹿杖客,231
韦一笑,张无忌,35822
韦一笑,周芷若,5909
韦一笑,张三丰,7513
韦一笑,纪晓芙,454
韦一笑,胡青牛,244
韦一笑,谢逊,2222
韦一笑,宋远桥,895
韦一笑,殷梨亭,3522
韦一笑,张翠山,200
韦一笑,金花婆婆,1090
韦一笑,殷素素,171
韦一笑,宋青书,1866
韦一笑,何太冲,1643
韦一笑,俞莲舟,1065
韦一笑,小昭,1727
韦一笑,俞岱岩,2227
韦一笑,赵敏,9182
韦一笑,鹿杖客,4247
宋青书,张无忌,45161
宋青书,殷梨亭,5878
宋青书,纪晓芙,487
宋青书,周芷若,17560
宋青书,张翠山,370
宋青书,胡青牛,155
宋青书,金花婆婆,464
宋青书,殷素素,117
宋青书,张三丰,2155
宋青书,宋远桥,2170
宋青书,韦一笑,1866
宋青书,何太冲,517
宋青书,小昭,876
宋青书,谢逊,7252
宋青书,俞岱岩,266
宋青书,俞莲舟,4144
宋青书,赵敏,13280
宋青书,鹿杖客,798
小昭,张无忌,43010
小昭,谢逊,11227
小昭,张三丰,1969
小昭,韦一笑,1727
小昭,宋远桥,1378
小昭,宋青书,876
小昭,殷梨亭,1519
小昭,俞岱岩,458
小昭,俞莲舟,1022
小昭,张翠山,308
小昭,周芷若,6986
小昭,胡青牛,455
小昭,金花婆婆,13098
小昭,何太冲,962
小昭,纪晓芙,345
小昭,赵敏,13075
赵敏,张无忌,186245
赵敏,小昭,13075
赵敏,韦一笑,9182
赵敏,周芷若,52297
赵敏,殷梨亭,6526
赵敏,俞岱岩,3237
赵敏,纪晓芙,745
赵敏,张三丰,12437
赵敏,谢逊,36970
赵敏,宋远桥,6539
赵敏,俞莲舟,5033
赵敏,张翠山,666
赵敏,胡青牛,974
赵敏,何太冲,2788
赵敏,金花婆婆,28098
赵敏,鹿杖客,15735
赵敏,宋青书,13280
鹿杖客,张无忌,27846
鹿杖客,韦一笑,4247
鹿杖客,宋远桥,572
鹿杖客,俞莲舟,643
鹿杖客,何太冲,2617
鹿杖客,赵敏,15735
鹿杖客,周芷若,10924
鹿杖客,俞岱岩,263
鹿杖客,殷梨亭,384
鹿杖客,张三丰,650
鹿杖客,谢逊,4704
鹿杖客,宋青书,798
鹿杖客,金花婆婆,231
